user,location,source,place,created_at,geo_enabled,friends_count,text,retweet_count,retweeted_status
Vinnie48006970,,Twitter for Android,,2021-05-09 15:40:13,False,15,@BIGHIT_MUSIC I can't breathe I need some oxygen....You all are soo handsome I  can't handle this😭😭💜 https://t.co/HWx1SYKjfE,0,False
RwRishikesh,"Rishikesh, Uttaranchal",Twitter for Android,,2021-05-09 15:40:12,True,2471,"Today, the University of Petroleum and Energy Studies, Dehradun presented 50 Oxygen Concentrators to the state gove… https://t.co/Wfj8MxycAj",0,False
UPSIDA,"A-1/4, Lakhanpur, Kanpur.",Twitter for Android,,2021-05-09 15:40:11,True,149,UPSIDA’s allottees of Steel units Rimjhim Ispat and Sigma took humanitarian call...supplying 2500 oxygen cylinders… https://t.co/seyBYYDDYC,1,False
jeyhobiworld,she/her • 19,Twitter for Android,,2021-05-09 15:40:08,False,1380,@kmdhynie_ @seoookjinkim please bring oxygen 😂,0,False
PIBChandigarh,"Chandigarh, India",Twitter for Android,,2021-05-09 15:40:06,False,191,"Delivery of medical essentials like #vaccines, oxygen concentrators, #Oximeter and other materials continues uninte… https://t.co/LFVqJ22Lk8",0,False
AlpineFine,,Twitter for Android,,2021-05-09 15:40:06,False,538,"#Mumbai 
BEDS

1) Diamond hospital Malad 12 bed available with oxygen &amp; ventilator

2)Riddhi Siddhi hospital Kandiv… https://t.co/hYsKvUVZbo",1,False
JD34949585,,Twitter Web App,,2021-05-09 15:40:05,False,8,Pls arrange Remdesivir and Oxygen across India #Modi_BharatKaGarv,0,False
Jai_shive22,"Rajasthan, India",Twitter for Android,,2021-05-09 15:40:02,False,863,"urgent 🚨
Req - ventilator bed 
Patient name - prakash prjapti  
City - bikaner  
Oxygen score - 44 

Contact no. -6… https://t.co/cTL9K0kDAs",3,False
BSeoktan,,Twitter for Android,,2021-05-09 15:40:02,False,1220,@taenigguk Oxygen tank need na po pls,0,False
dastrickery,,Twitter for iPhone,,2021-05-09 15:40:01,False,5,"@KwandiweLavisa @imoratheseer 😣😣😣 potentially tough combo, especially if your Aries energy challenged figureheads g… https://t.co/XRt3oB3HVo",0,False
sansheworld,"Mumbai, India",Twitter for iPhone,,2021-05-09 15:40:01,False,39,@atuldolasj @Betaji_says @dentist_chick @akashchadha23 @srinivasiyc @INCSandesh @PrakshalP @divyajn07 @aapkaprithvi… https://t.co/5aoeC9wF23,0,False
SUGA_SAKALAM,//she/her//,Twitter for iPhone,,2021-05-09 15:40:01,False,5782,@cookyjeonnn WAIT UHM * grabs oxygen* HERE BESTIE,0,False
JeniNingrum,,Twitter for Android,,2021-05-09 15:39:57,False,12,"@BIGHIT_MUSIC Bighit return my sanity and give me more oxygen, please 🏳️

#ButterTeaser1
#BTS_Butter 
#BTS
#방탄소년단… https://t.co/lj8iapzZp4",0,False
gracemariiieee,"Iloilo City, Western Visayas",Twitter for Android,,2021-05-09 15:39:54,False,755,"When I said I need oxygen, eto yun: https://t.co/a0yuS0UkcX https://t.co/MOVTACRrsS",0,False
andyks79,,Twitter for Android,,2021-05-09 15:39:52,False,793,Instead of giving ads if you had focused on oxygen and hospital beds people would've been saved.. every time you cr… https://t.co/JZK6dfwcWP,0,False
CrickCom1,"New Delhi, India",Twitter for Android,,2021-05-09 15:39:52,False,284,@BreatheKohli Trying to inhale oxygen from cylinder.,0,False
ArkansasGoddam,,Twitter for iPhone,,2021-05-09 15:39:48,True,580,"@BlueHogReport Man, this is beautiful and a perfect Mother’s Day gift for @ballinger_jess who, because of multiple… https://t.co/ntzQLT4xv9",0,False
UrVibhash,🇮🇳 भारत 🇮🇳,Twitter for Android,,2021-05-09 15:39:44,False,720,"#IndiaFightsCorona 

Oxygen Express: Nearly 3,400 MT of liquid medical oxygen delivered across India… https://t.co/NsAxrnNIGR",0,False
nagakarthijk,Base - BLR Work - NE & Kashmir,Twitter Web App,,2021-05-09 15:39:43,True,1136,"Looking to reach out to someone at 
@JSWFoundation
 this is regarding supporting the augmentation of Oxygen supply… https://t.co/3ZTs4QYT6N",0,False
MandoMunda,"New Delhi, India",Twitter for Android,,2021-05-09 15:39:42,False,607,"#Odisha #Cuttack
AK BHAGAT: 9238312164

Oxygen refilling available 

Verified at 18:48, May 9th 2021, by Gayatri Menon

#ICLUVERIFIES",2,False
Kankan32991816,,Twitter Web App,,2021-05-09 15:39:41,False,0,@sweet_potato258 @doctorrichabjp India donated 9000MT oxygen to mulla majority countries last year(which is the hig… https://t.co/yIbVu6BemM,0,False
utpalpriydarshi,New Delhi,Twitter for Android,,2021-05-09 15:39:39,True,169,"@ShekharGupta Please ask them to manage oxygen also,",0,False
mandeep_00,India,Twitter for Android,,2021-05-09 15:39:37,True,187,"Sir please help. Just referred to bahadurgarh from rewari. Oxygen is not available in rewari..
Please arrange a ven… https://t.co/Cl6jmRDewf",0,False
abhiman1974,54/3 Lowther Road Prayagraj,Twitter Web App,,2021-05-09 15:39:36,False,2486,German Ambassador to India Walter J Lindner says that his country is taking all possible steps to aid India amid on… https://t.co/9F4KAOTumM,0,False
AmalRazik3,New Delhi,Twitter Web App,,2021-05-09 15:39:31,False,69,"#NoMoreModi #CentralVistaProject 
Give Citizen oxygen and stop the building of your memorial. People's lives",0,False
DeeTee1948,Canada,Twitter for Android,,2021-05-09 15:39:30,False,285,@jkwan_md Absolute Best Mother's Day gift ever: on day 19 of covid my son's oxygen levels have inched up to 94 and… https://t.co/u69cRQvRJO,0,False
praba_k,India,Twitter for Android,"Place(_api=<tweepy.api.API object at 0x000001AE81071310>, id='6d86f195adaa42fb', url='https://api.twitter.com/1.1/geo/id/6d86f195adaa42fb.json', place_type='city', name='Saidapet', full_name='Saidapet, India', country_code='IN', country='India', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000001AE81071310>, type='Polygon', coordinates=[[[80.0765774, 13.0248559], [80.3329248, 13.0248559], [80.3329248, 13.2340278], [80.0765774, 13.2340278]]]), attributes={})",2021-05-09 15:39:29,True,634,#immunity #yoga #health #oxygen #SMS eases my breathing... Grateful to have this in these terrible times... To lear… https://t.co/3uZloFE0qp,1,False
ShivamA37871087,,Twitter Web App,,2021-05-09 15:39:28,False,101,"@ArvindKejriwal  is failure to handle such a small Delhi 
1) Not a single hospital made in Delhi from 2015 
2) coll… https://t.co/XnAF385dEx",0,False
PawanKalyanArmy,,Twitter for Android,,2021-05-09 15:39:25,True,68,Please Who Had Empty Cylinders Call To Them Oxygen Shortage Vala Chala Ibbandhi  Paduthunaru Please Share This To E… https://t.co/U8s7B7uvNb,0,False
wdamidoinhere,,Twitter for Android,,2021-05-09 15:39:19,True,218,@TsJeyaraman @saikiran @Shawan_speaks @ShekharGupta Center's role was allocation of surplus oxygen. Delhi kept dema… https://t.co/W7Yeq96aOY,0,False
rnarula99,"New Delhi, India",Twitter for Android,,2021-05-09 15:39:18,False,9,"@LtGovDelhi 
It seems to be a big conspiracy to show down our country. Shortage of Oxygen at such times is a clear… https://t.co/zFWV9kCz8x",0,False
temporary_handl,Lucknow,Twitter Web App,,2021-05-09 15:39:18,True,486,"@Impres78 this is what i feel too. when delhiites were dying, bjp went to court to not have to provide oxygen to th… https://t.co/KdUZETkxpU",0,False
manasarao,,Twitter for Android,,2021-05-09 15:39:17,False,1061,Need an urgent ICU/ oxygen bed in Chennai/ Tambaram. Pls help. #Covid19IndiaHelp #CovidSOS @chennaicorp @GSBediIAS… https://t.co/oKMY2CH9fr,1,False
kruti_igot7,One Of IGOT7 ❣️,Twitter Web App,,2021-05-09 15:39:16,False,224,"guys pray for me, coivd doens't come back to me. 

yesterday night I cried half an hour and i guess due to it today… https://t.co/jzbX9TRSYi",0,False
vlaks1116,,Twitter for Android,,2021-05-09 15:39:16,True,37,"@ANI @anilvijminister  decentralise, focus on rural areas distribute oxymeter ,oxygen concentrator and neublizers t… https://t.co/LQnMMnQnS2",0,False
MandoMunda,"New Delhi, India",Twitter for Android,,2021-05-09 15:39:16,False,607,"#Delhi #Pitampura 
RAVI: 9911112717

#Oxygen refilling free of cost.

Verified at 18:12, May 9th 21 by Gayatri Menon

#ICLUVerifies",2,False
MANEESHAGRAWA12,,Twitter for Android,,2021-05-09 15:39:15,False,324,@timesofindia Such a big state like Punjab needs only 300tonnes Oxygen and a tiny state like Delhi needs 900tonnes.… https://t.co/eARK0xoBU5,0,False
rishikant_us,"Indira Puram, Ghaziabad",Twitter for Android,,2021-05-09 15:39:08,True,121,China earns selling these by the millions worldwide. Since when was this inventory being amassed and on what demand… https://t.co/neTeQgmDkx,0,False
VanshSa51369445,"Bareilly, India",Twitter for Android,,2021-05-09 15:39:08,True,110,"@SoodFoundation 
@SonuSood 
Sir urgently need oxygen cylinder or oxygen concentrator . Daddu ki tabiyat kharab hai… https://t.co/Gh12y60rIX",0,False
AhmedZahid05,India,Twitter for Android,,2021-05-09 15:39:06,True,815,#SOSCHENNAI Need Immediate hospitalisation with Oxygen for a mail patient in Chennai. SPO2 = 84 &amp; dropping. Covid+… https://t.co/PrKRM5jUdm,0,False
shekhawat2u,"Ahmadabad City, India",Twitter for iPhone,,2021-05-09 15:39:05,False,378,"✅ 𝐕𝐞𝐫𝐢𝐟𝐢𝐞𝐝
LUCKNOW 
Few Oxygen Beds Available

Name: A One Hospital
Phone: 9450374007
Location: Jlabour ada, Pakkap… https://t.co/OMXkVLlSV0",0,False
MandoMunda,"New Delhi, India",Twitter for Android,,2021-05-09 15:39:04,False,607,"#Bihar #OxygenCylinder 

Barh -60 kms from Patna 
Oxygen cylinder available - 70 ltr 
7258078608 
(Due diligence be… https://t.co/BLXpzcKwNg",7,False
SheThePeople,India,Twitter for Android,,2021-05-09 15:39:04,True,807,"An auto-rickshaw driver from Bhopal Madhya Pradesh has converted his rikshaw into an ambulance, along with an oxyge… https://t.co/5zF06RrwJa",0,False
Amit81705649,,Twitter for Android,,2021-05-09 15:39:03,False,4,"Sir I need oxygen ,, my brother is in home isolation 8684094950 @SonuSood",0,False
TheAngryBuddha_,Nepal,Twitter for Android,,2021-05-09 15:39:03,True,377,@ImB2Mishra Exactly. We've seen how these parasites fed on already suffering public during earthquake. They're doin… https://t.co/OlqpJIOQTd,0,False
ilalitb,"Siliguri, India",Twitter for Android,,2021-05-09 15:38:58,True,283,"@ShekharGupta States are unable to manage oxygen ,medicines and even beds on their own and you are demanding vaccin… https://t.co/5f2RgxXuxV",0,False
AlpineFine,,Twitter for Android,,2021-05-09 15:38:57,False,538,"#Bhopal #MadhyaPradesh 

Hospital: Srijan Hospital

Availability: Oxygen beds + ICU beds 
 
Contact no: 7000306261… https://t.co/7D3Mv01I2H",1,False
Tiwari12Aakash,"Bhilai, India",Twitter for iPhone,,2021-05-09 15:38:57,True,152,"@barkhatrehan16 @TheRightster Check this : Lucknow

 🆘🆘🆘🆘🆘🆘

📌 Lucknow Update

📍 BEDS AVAILABLE

PRIDE Hospital At… https://t.co/EXdYYHZUtD",0,False
sanjuchainbaba,Sahtawar Ballia Up 277211,Twitter for Android,"Place(_api=<tweepy.api.API object at 0x000001AE81071310>, id='31af0783fdea2c79', url='https://api.twitter.com/1.1/geo/id/31af0783fdea2c79.json', place_type='city', name='Ballia', full_name='Ballia, India', country_code='IN', country='India', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000001AE81071310>, type='Polygon', coordinates=[[[84.106864, 25.741715], [84.194114, 25.741715], [84.194114, 25.792739], [84.106864, 25.792739]]]), attributes={})",2021-05-09 15:38:56,True,220,"@DrKumarVishwas @SonuSood @srinivasiyc @OfficeOfDKV 
Please help sir
Please help me my mother oxygen level 35 
In Bareilly
Mo. 9125386581",0,False
sas96553801,"Gurgaon, India",Twitter Web App,,2021-05-09 15:38:56,False,703,MP: Congress secretary arrested by Indore police for selling Oxygen Flow Meters at inflated prices https://t.co/GYv6yUOc5r,0,False
CherylETaylor,🌍,Twitter for Android,,2021-05-09 15:38:53,True,3193,"#selfcare 

Happy #MothersDay and remember you must get your oxygen first before administering to others. 
💕
💕
💕… https://t.co/iwwUBSmNeL",0,False
shubhk94,Bharat ,Twitter for iPhone,,2021-05-09 15:38:52,False,317,@AnasSha32597104 @myogiadityanath Just because he mentioned Nitrogen to Oxygen and didn’t mentioned the word plant… https://t.co/eRncvVG9zy,0,False
ayudh_india,amritapuri,Twitter for Android,"Place(_api=<tweepy.api.API object at 0x000001AE81071310>, id='5d01806d080d1e50', url='https://api.twitter.com/1.1/geo/id/5d01806d080d1e50.json', place_type='admin', name='Kerala', full_name='Kerala, India', country_code='IN', country='India', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000001AE81071310>, type='Polygon', coordinates=[[[74.860575, 8.291304], [77.412687, 8.291304], [77.412687, 12.79508], [74.860575, 12.79508]]]), attributes={})",2021-05-09 15:38:51,True,18,"#sosandhrapradesh
*B+ve PLASMA REQUIRED*
Patient name : Kanisetty Sitaramayya
Age : 28
Blood group : B+ve
Date and… https://t.co/PbsC6UIf66",0,False
DESAIRjd,,Twitter for iPhone,,2021-05-09 15:38:50,True,941,@nsitharaman @ANI @PIB_India @PIBKolkata Regarding oxygen and vaccines you can give credit to manufacturers without… https://t.co/04VH0Q3myj,0,False
echitgupta,"Ghaziabad, India",Twitter for Android,,2021-05-09 15:38:45,True,4127,"Railways has delivered 2,960 tonnes of liquid oxygen to states
https://t.co/m08kGU8PIn

via NaMo App https://t.co/vZRMwVKunZ",0,False
shekhawat2u,"Ahmadabad City, India",Twitter for iPhone,,2021-05-09 15:38:44,False,378,"✅ 𝐕𝐞𝐫𝐢𝐟𝐢𝐞𝐝
LUCKNOW 
Few Oxygen Beds Available

Name: Vinayak Trauma Centre and Hospital
Phone: 9919604383
Location:… https://t.co/FvcNcvudIR",0,False
Vipin95163730,,Twitter for Android,,2021-05-09 15:38:43,False,28,@SonuSood urgently need injection and oxygen patients is very critical condition at Jawahar lal nehru Medical colle… https://t.co/FCFus473QR,0,False
World17190241,,Twitter for Android,,2021-05-09 15:38:40,False,2,"@hulycon @Chahal_Shekhar @beingarun28 Don't spread fake Stories man, give a source when did pak send Oxygen for India??",0,False
libertariandesi,Tyrosh ,Twitter for Android,,2021-05-09 15:38:38,True,447,This incompetent  liar should be taken to task. The reason things have improved is that the courts made the centre… https://t.co/4kfx62tLUs,0,False
MirzaShahab91,,Twitter for Android,,2021-05-09 15:38:38,False,285,"@murat_kurum @Eskimanita Urgent need!! 
We need your contributions to help purchase Oxygen Concentrators  from over… https://t.co/aNfrahjrWz",0,False
BiswasDebanshi,,Twitter for Android,,2021-05-09 15:38:37,False,21,@BollywoodGandu @one_by_two Yes I mean for God sake they should stop this PR stand and  rather they should actually… https://t.co/yeZzBIFWd0,0,False
amaanbali,"Mumbai, Punjab, Kashmir",Twitter for iPhone,,2021-05-09 15:38:37,True,1356,Can anyone enlighten me why ‘Oxygen Express’ doesn’t enter Punjab. Just why? Why is Punjab bringing in its 40% O2 f… https://t.co/O4ygEz8e23,4,False
Darkshades___,India ,Twitter Web App,,2021-05-09 15:38:36,False,583,"Urgent!!
Need Oxygen in Bhaktapur area. 
Please help and share any contacts if available. .@RONBupdates  #ronbhelp  #Oxyen #Nepal",1,False
sirajnoorani,mumbai,Twitter for Android,,2021-05-09 15:38:35,True,2681,#MadhyaPradesh | State govt and Centre govt are fighting together against #COVID19. Moil to set up 350 (oxygen) bed… https://t.co/oGuXyT10h7,0,False
rajeevbhalla43,New Delhi,Twitter for Android,,2021-05-09 15:38:33,False,66,@INCIndia Congress Leader arrested in Faridabad for Black Marketing of Oxygen Cylinders !! https://t.co/E3Vk7Nu5Vb,0,False
utsavbains,Delhi,Twitter for iPhone,,2021-05-09 15:38:33,True,853,For Lawyers &amp; Legal Journalists in #Delhi #NCR. I had personally requested @TandonRaveena ji to provide… https://t.co/3udrTbJWeN,0,False
FytFascism,,Twitter for Android,,2021-05-09 15:38:31,False,66,"Area/Location: Madipakkam
Symptoms: Fever, breathing difficulties, cough, low spo2
How many days: 6 days
Patient on… https://t.co/hMFxRhSnYL",0,False
MandoMunda,"New Delhi, India",Twitter for Android,,2021-05-09 15:38:26,False,607,"#Ambulance service #Trichy

98424 37575

Facility without  oxygen / non oxygen both

Type Paid Service
Location. Tr… https://t.co/aVRo2uPzf1",1,False
PIBChandigarh,"Chandigarh, India",Twitter for Android,,2021-05-09 15:38:24,False,191,"Global aid including 16 oxygen plants and more than 3 lakh #remdesivir vials rushed to States/UTs

India has been r… https://t.co/p7P4BzVQi5",0,False
raja_brain,,Twitter for Android,,2021-05-09 15:38:23,False,18,"@dhruv_rathee ""Essential work""-

Necessary- Delhi gov To collect oxygen From their respective states.

Work in prog… https://t.co/dpUAfWIQAq",0,False
kayminniee,worldwide ,Twitter for Android,,2021-05-09 15:38:21,True,399,"@01Btsxarmy @BTS_twt oxygen i need oxygen

I vote for #Dynamite as the #BestMusicVideo at the 2021 #iHeartAwards (… https://t.co/c6bEN7cVdu",0,False
echitgupta,"Ghaziabad, India",Twitter for Android,,2021-05-09 15:38:21,True,4127,"Navy, IAF further intensify efforts to transport large oxygen containers
https://t.co/cTRkfm2nor

via NaMo App https://t.co/jycIt51OWc",0,False
army000_bts,,Twitter for Android,,2021-05-09 15:38:16,False,2,"Rainbow jimin.....
Pink joon 
Purple jk (that too in pony tail) blonde hobi 
Taehyung 
Jin
Suga 
But where is my Ox… https://t.co/J4DA5yKNQH",0,False
Jerry64992245,Earth,Twitter Web App,,2021-05-09 15:38:15,False,1196,@socialmedia5130 @India_Policy he offered virtual campaign opposition opposed.he ordered vaccines opp created vacc… https://t.co/Cq2HtmcI2H,0,False
MandoMunda,"New Delhi, India",Twitter for Android,,2021-05-09 15:38:13,False,607,"#Ambulance service #Chennai 

98846 39400 

Facility without  oxygen / non oxygen both

Type Paid Service
Location.… https://t.co/7TefPj3Vdz",3,False
KP55475914,,Twitter for Android,,2021-05-09 15:38:12,False,0,"@mkstalin
Later he was admitted in thirunelveli Palayam Kottai GH..there sister found leakage of oxygen.even she in… https://t.co/DSM6Fklcv2",0,False
Manoj876920,"Jaipur, India",Twitter for Android,,2021-05-09 15:38:12,True,123,@IYCPunjab @srinivasiyc @PunjabPMC @IYC @SevadalPB @brinderdhillon @Buntyshelke_inc @vbwalia @GoldyDS_Dhuri Name -… https://t.co/6OJ3DHwTpf,0,False
jitendraharsh,"Jodhpur, India",Twitter for Android,,2021-05-09 15:38:06,True,557,"#TeamSPCovidHelp
#TeamSP
Surendra bhati son of kishan singh bhati
NEED ICU BED 
Age 51
Ct score 18
Oxygen level 78… https://t.co/S5KJtntegT",3,False
ScarTissue101,La Ciudad De Las Gidi,Twitter for Android,,2021-05-09 15:38:06,False,602,"@mskayks I've heard enough similar tales.

An aunt of mine was in a hospital watching over her sick dad and she sai… https://t.co/ABJkCBecYW",0,False
_AbimbolaOshodi,,Twitter Web App,,2021-05-09 15:38:06,True,877,"I’m also concerned about the new terms that are being used to replace women. 
Women’s rights are barely hanging on… https://t.co/Ak7ywcUTwp",0,False
cookyjeonnn,,Twitter for Android,,2021-05-09 15:38:06,False,3550,@SUGA_SAKALAM I NEED OXYGEN BESTIEE HUHU,0,False
UnusualMonk,India,Twitter for iPhone,,2021-05-09 15:38:02,False,668,"@runcaralisarun If, god forbid, he ever needs one, this should be used as his declaration stating he doesn’t need bottled oxygen!",0,False
VizagJsp,"Vishakhapatnam, India",Twitter for Android,,2021-05-09 15:38:02,False,32,"Plasma requirement

Name:satti srinu
Age: 50
Blood group: ab+
Hospital: ramya hospital
Units : 2
Reason: covid 
Loc… https://t.co/uui4Ax0hdD",0,False
MandoMunda,"New Delhi, India",Twitter for Android,,2021-05-09 15:38:01,False,607,"#Ambulance service #Coimbatore

98434 45000

96007 06445 APJ Ambulance

Facility without  oxygen / non oxygen both… https://t.co/kVwQVWhmRv",1,False
butjustellme,,Twitter for iPhone,,2021-05-09 15:37:59,True,610,"@KapilChopra72 We will need intensivists, staff nurses, health care assistants, doctors, protocols, triage rooms, r… https://t.co/fMg9No5AZh",0,False
thehimalayan,"Kathmandu, Nepal",Echobox,,2021-05-09 15:37:59,True,71,"Expert Recommendations: Things to do when you've tested Covid-19 positive, are in home isolation and have low oxyge… https://t.co/s5rA3SW0h2",0,False
Jiteshkumarjat2,"Jaipur, India",Twitter for Android,,2021-05-09 15:37:58,True,594,"@HansrajMeena Remdesivir Inj.
Oxygen level : 75
Pateint Name-Vikram
Age- 25 years 
Barala hospital chomu Jaipur  Ra… https://t.co/bn4SGNkP0w",0,False
AhmedZahid05,India,Twitter for Android,,2021-05-09 15:37:55,True,815,#SOSCHENNAI Need Immediate hospitalisation with Oxygen for a mail patient in Chennai. SPO2 = 84 &amp; dropping. Covid+… https://t.co/2gE1Kb3XpT,0,False
sknssckjv,port,Twitter for Android,,2021-05-09 15:37:53,False,906,SEND OXYGEN ASAP 😭 https://t.co/U3rb6NxL9A,0,False
yadavaasud,,Twitter for Android,,2021-05-09 15:37:49,False,527,@KumariRukshmani Take care of self. Post image of your oxygen level. It must be above 95.,0,False
bramhprakash7,"New Delhi, Madhya Pradesh. ",Twitter for Android,,2021-05-09 15:37:49,True,896,ESIC installs oxygen plants at two hospitals in Delhi NCR; will facilitate augmentation of critical care facility i… https://t.co/8oLUO7xH0A,0,False
KingRajfromdaC,,Twitter for iPhone,,2021-05-09 15:37:48,False,0,@Sabie_21 @AdiKumarRoy @NaharUtkarsh @dhruv_rathee Of course you shouldent spread more you idiot.  Even with the sp… https://t.co/mls7NB1Suo,0,False
Koothaadi,koothaadii@gmail.com,Twitter for Android,,2021-05-09 15:37:47,True,1690,"Need bed for a 29M in Chennai (any area) Close relative. Tried 104 and hospitals directly. 

Please pass for lead.… https://t.co/J4OGbJXo8n",4,False
PalveShashikant,India,Twitter for Android,,2021-05-09 15:37:45,True,171,"Oxygen Express: Nearly 3,400 MT of liquid medical oxygen delivered across India 
https://t.co/J2zhRjypVS

via NaMo… https://t.co/S707zPtME7",0,False
max_the_moose,,"Cheap Bots, Done Quick!",,2021-05-09 15:37:44,False,0,Everybody loves oxygen difluoride,0,False
khristi_yebin,,Twitter for Android,,2021-05-09 15:37:41,False,47,"@SonuSood sir, please help for my father covid treatment please they oxygen level down. please help🙏🙏🙏
Vadodara, Gu… https://t.co/IGAeUPlblQ",0,False
Baba25241306,,Twitter for Android,,2021-05-09 15:37:41,False,282,@FarOutAkhtar Resources and Congress was not in the power even though they are working 24×7 giving necessary help a… https://t.co/0umD5GD8Cl,0,False
s_sumitk,,Twitter for Android,,2021-05-09 15:37:41,False,55,"@aparanjape Also 10% drop in mortalities, which is a good sign. Since last few days people on oxygen support is red… https://t.co/X1MUOJq6e0",0,False
PS40144590,,Twitter for Android,,2021-05-09 15:37:38,True,36,"@EconomicTimes The crook @msisodia has started his shameful activities,when HC has issued notices to his sambandhi… https://t.co/zMM8pAQZDZ",0,False
muhammedsadeeb2,,Twitter for Android,,2021-05-09 15:37:38,False,143,@Haryanavi_Jofra was not Saudi Arabia the country who sent so much oxygen to India. yh i see the hypocrisy in ur statement,0,False
pulakkk,"Mumbai, India",Twitter for Android,,2021-05-09 15:37:36,True,303,"Do u know 4days Kumbh gathering is a super spreader,but total one month gatherings are Oxygen producers.",0,False
dfstone,"Boca Raton, FL",Twitter Web App,,2021-05-09 15:37:36,True,79,"@Deadpool650 I don't care that he's a republican, I care that he gives oxygen to lies and conspiracy theories that… https://t.co/3f8jNSpQPK",0,False
